Model,Count,Delete_Action,Preserved,Reason,Notes
LaborExcelExportBatch,0,DELETE,NO,project-scoped,
LaborConfirmedWorkDay,0,DELETE,NO,project-scoped,
LaborReconciliationResult,0,DELETE,NO,project-scoped,
ElectronicCardWorkDay,0,DELETE,NO,project-scoped,
ElectronicCardWorkRaw,0,DELETE,NO,project-scoped,
ElectronicCardImportBatch,0,DELETE,NO,project-scoped,
PayrollAllocationLine,0,DELETE,NO,project-scoped,
LaborMonthlyPayroll,0,DELETE,NO,project-scoped,
LaborWorkLedger,0,DELETE,NO,project-scoped,
Timesheet,0,DELETE,NO,project-scoped,
DailyProgress,0,DELETE,NO,project-scoped,
PlanChangeRequest,0,DELETE,NO,project-scoped,
ScheduleTask,0,DELETE,NO,project-scoped,
SchedulePlan,0,DELETE,NO,project-scoped,
CostActual,0,DELETE,NO,project-scoped,
RevenueRecognition,0,DELETE,NO,project-scoped,
CashEvent,0,DELETE,NO,project-scoped,
ContractSnapshot,0,DELETE,NO,project-scoped,
ContractChange,0,DELETE,NO,project-scoped,
DailyReport,0,DELETE,NO,project-scoped,
FieldReport,0,DELETE,NO,project-scoped,
RiskFinding,1,DELETE,NO,project-scoped,
RiskEvent,0,DELETE,NO,project-scoped,
Adjustment,0,DELETE,NO,project-scoped,
ProjectClose,0,DELETE,NO,project-scoped,
ApprovalPackage,0,DELETE,NO,project-scoped,
ApprovalRequest,0,DELETE,NO,project-scoped,
WBSChangeRequest,0,DELETE,NO,project-scoped,
BudgetItem,0,DELETE,NO,project-scoped,
WBSItem,0,DELETE,NO,project-scoped,
ProjectContract,0,DELETE,NO,project-scoped,
ProjectAssignment,0,DELETE,NO,project-scoped,
FavoriteCostItem,0,DELETE,NO,project-scoped,
LaborRateTableProjectScope,0,DELETE,NO,project-scoped,
IssueToWork,0,DELETE,NO,project-scoped,
Transfer,0,DELETE,NO,project-scoped,
InventoryLedger,0,DELETE,NO,project-scoped,
Warehouse,0,DELETE,NO,project-scoped,
Evidence,0,DELETE,NO,project-scoped,
audit.AuditLog,0,SET_NULL by Project deletion,YES,audit preservation policy,No AuditLog deletion
auth.User/UserProfile/CostItem/WorkerMaster,0,NONE,YES,global master preservation policy,
